Date,fii_purchase,fii_sales,fii_net,DII Purchase,DII Sales,DII Net
2019-11-29,4769.15,6661.44,-1892.29,4407.04,3453.42,953.62
2019-11-28,5250.85,4241.96,1008.89,4132,4287.47,-155.47
2019-11-27,4526.38,4483.45,42.93,3999.3,3559.79,439.51
2019-11-26,39885.28,35207.53,4677.75,5501.94,9743.95,-4242.01
2019-11-25,5257.86,4296.96,960.9,3378.86,3592.52,-213.66
2019-11-22,5138.86,4833.14,305.72,2838.11,3015.48,-177.37
2019-11-21,10556.67,5533.13,5023.54,3347.32,3595.06,-247.74
2019-11-20,5840.2,5273.68,566.52,4850.66,4667.25,183.41
2019-11-19,7785.13,8700.5,-915.37,4310.87,4048.52,262.35
2019-11-18,4375.8,4646.46,-270.66,3338.82,3029.37,309.45
2019-11-15,5113.19,6121.56,-1008.37,4339.31,3801.57,537.74
2019-11-14,5100.87,5662.92,-562.05,3863.52,3780.78,82.74
2019-11-13,7160.19,6575.27,584.92,3368.95,4258.98,-890.03
2019-11-11,4072.17,3407.97,664.2,2890.91,3135.97,-245.06
2019-11-08,6432.37,5500.17,932.2,3840.39,4424.87,-584.48
2019-11-07,6377.16,5450.56,926.6,3818.14,4453.73,-635.59
2019-11-06,5903.74,4892.25,1011.49,3561.07,4678.32,-1117.25
2019-11-05,5551.26,5078.09,473.17,3163.93,4757.64,-1593.71
2019-11-04,4625.98,4764.51,-138.53,3297.77,3798.01,-500.24
2019-11-01,6069.3,5535.93,533.37,3979.06,4115.56,-136.5
2019-10-31,9004.58,7133.71,1870.87,4886.64,5537.37,-650.73
2019-10-30,12523.06,5330.64,7192.42,4164.15,4350.02,-185.87
2019-10-29,8011.44,7134.8,876.64,4972.25,4827.5,144.75
2019-10-27,31.73,25.12,6.61,60.91,6.52,54.39
2019-10-25,5370.33,5805.75,-435.42,4351.14,3910.98,440.16
2019-10-24,5885.49,5958.36,-72.87,3837.33,4576.08,-738.75
2019-10-23,5182.47,5395.7,-213.23,3961.03,4098.41,-137.38
2019-10-22,7878.6,8436.1,-557.5,5136.52,6121.99,-985.47
2019-10-18,5423.72,5387.16,36.56,5071.17,4484.29,586.88
2019-10-17,5659.99,4501.36,1158.63,3702.38,4214.14,-511.76
2019-10-16,5765.06,5078.73,686.33,5078.73,3473.28,1605.45
2019-10-15,6473.7,6037.68,436.02,4104.19,3174.8,929.39
2019-10-14,4916.46,4020.83,895.63,3562.06,3987.21,-425.15
2019-10-11,5721.61,4971.87,749.74,3607.44,4310.46,-703.02
2019-10-10,4763.46,5026.57,-263.11,4043.14,3540.47,502.67
2019-10-09,5513.36,5998.6,-485.24,3771.36,2815.1,956.26
2019-10-07,3023.15,3517.36,-494.21,4191.17,3286.35,904.82
2019-10-04,4862.69,5545.62,-682.93,3757.64,3151.36,606.28
2019-10-03,4762.86,5573.58,-810.72,3600.32,2737.78,862.54
2019-10-01,5462.42,6760.98,-1298.56,5177.01,3673.99,1503.02
2019-09-30,5662.31,6131.71,-469.4,5315,4810.31,504.69
2019-09-27,3941.44,4155.04,-213.6,3428.17,2969.49,458.68
2019-09-26,9934.75,9197.58,737.17,7486.66,7147.38,339.28
